movie_genre,name,duration,years_released,description
Action,The Dark Knight,152,2008,A superhero battles a chaotic villain in Gotham.
Comedy,Superbad,113,2007,Two teens try to buy alcohol for a party.
Drama,The Shawshank Redemption,142,1994,A man finds hope and friendship in prison.
Horror,Get Out,104,2017,A young man uncovers a terrifying conspiracy.
scifi,Interstellar,169,2014,Astronauts travel through a wormhole to save humanity.
Action,Mad Max: Fury Road,120,2015,A warrior fights to survive in a desert wasteland.
Comedy,Anchorman,94,2004,A news team causes chaos with their antics.
Drama,Forrest Gump,142,1994,A simple man lives through major historical events.
Horror,A Quiet Place,90,2018,A family must live in silence to avoid monsters.
scifi,Blade Runner 2049,164,2017,A replicant detective uncovers a dangerous secret.
Action,Inception,148,2010,A thief enters dreams to plant an idea.
Comedy,The Grand Budapest Hotel,99,2014,A hotel concierge gets caught in a murder mystery.
Drama,The Green Mile,189,1999,Prison guards encounter a man with miraculous powers.
Horror,Hereditary,127,2018,A family is haunted by a terrifying legacy.
scifi,Arrival,116,2016,A linguist tries to communicate with alien visitors.
Action,John Wick,101,2014,A retired hitman seeks revenge for his dog.
Comedy,The Hangover,100,2009,Friends wake up in Vegas with no memory of the night.
Drama,Good Will Hunting,126,1997,A genius janitor struggles with his past and future.
Horror,The Conjuring,112,2013,A family is terrorized by a powerful spirit.
scifi,Dune,155,2021,A young nobleman leads a desert planet’s people.
Action,The Matrix,136,1999,A hacker discovers the world is a simulation.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,The Pursuit of Happyness,117,2006,A struggling salesman fights to build a better life.
Horror,It,135,2017,Children face a shape‑shifting evil in their town.
scifi,The Martian,144,2015,An astronaut is stranded on Mars and must survive.
Action,Die Hard,132,1988,A cop fights terrorists in a skyscraper.
Comedy,Zoolander,89,2001,A model is brainwashed into an assassination plot.
Drama,The Godfather,175,1972,A young man becomes the head of a crime family.
Horror,Sinister,110,2012,A writer discovers cursed home movies.
